,0,1,2,3,4,5,6
0,shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams
1,burgers,meatballs,eggs,,,,
2,chutney,,,,,,
3,turkey,avocado,,,,,
4,mineral water,milk,energy bar,whole wheat rice,green tea,,
5,low fat yogurt,,,,,,
6,whole wheat pasta,french fries,,,,,
7,soup,light cream,shallot,,,,
8,frozen vegetables,spaghetti,green tea,,,,
9,french fries,,,,,,
10,eggs,pet food,,,,,
11,cookies,,,,,,
12,turkey,burgers,mineral water,eggs,cooking oil,,
13,spaghetti,champagne,cookies,,,,
14,mineral water,salmon,,,,,
15,mineral water,,,,,,
16,shrimp,chocolate,chicken,honey,oil,cooking oil,low fat yogurt
17,turkey,eggs,,,,,
18,turkey,fresh tuna,tomatoes,spaghetti,mineral water,black tea,salmon
19,meatballs,milk,honey,french fries,protein bar,,
20,red wine,shrimp,pasta,pepper,eggs,chocolate,shampoo
21,rice,sparkling water,,,,,
22,spaghetti,mineral water,ham,body spray,pancakes,green tea,
23,burgers,grated cheese,shrimp,pasta,avocado,honey,white wine
24,eggs,,,,,,
25,parmesan cheese,spaghetti,soup,avocado,milk,fresh bread,
26,ground beef,spaghetti,mineral water,milk,energy bar,black tea,salmon
27,sparkling water,,,,,,
28,mineral water,eggs,chicken,chocolate,french fries,,
29,frozen vegetables,spaghetti,yams,mineral water,,,
30,herb & pepper,tomato sauce,light cream,magazines,,,
31,mineral water,chocolate,avocado,eggs,,,
32,turkey,french fries,strawberries,,,,
33,frozen vegetables,strong cheese,chocolate,,,,
34,cookies,,,,,,
35,pickles,spaghetti,salmon,escalope,,,
36,energy bar,french fries,,,,,
37,red wine,ground beef,mineral water,,,,
38,mineral water,cake,cottage cheese,,,,
39,pickles,champagne,green tea,,,,
40,spaghetti,,,,,,
41,fresh tuna,frozen vegetables,spaghetti,mineral water,honey,whole wheat rice,frozen smoothie
42,spaghetti,,,,,,
43,soup,meatballs,hot dogs,sparkling water,,,
44,escalope,,,,,,
45,soup,avocado,french fries,hot dogs,brownies,body spray,pancakes
46,mineral water,chicken,cereals,clothes accessories,,,
47,mineral water,bug spray,,,,,
48,avocado,muffins,,,,,
49,burgers,black tea,green tea,,,,
50,spaghetti,chocolate,brownies,white wine,green tea,,
51,fresh tuna,mineral water,eggs,,,,
52,spaghetti,muffins,,,,,
53,spaghetti,chocolate,,,,,
54,french fries,escalope,champagne,,,,
55,tomato sauce,light mayo,,,,,
56,turkey,fresh tuna,frozen vegetables,tomatoes,ground beef,spaghetti,mineral water
57,eggs,cookies,,,,,
58,soup,chicken,gums,soda,body spray,energy drink,green tea
59,turkey,frozen vegetables,mineral water,cider,cooking oil,green tea,
60,spaghetti,,,,,,
61,clothes accessories,,,,,,
62,energy drink,,,,,,
63,soup,bug spray,shallot,protein bar,green tea,,
64,turkey,eggs,,,,,
65,french fries,,,,,,
66,chocolate,milk,,,,,
67,herb & pepper,whole wheat pasta,ground beef,mineral water,avocado,cider,whole wheat rice
68,cookies,,,,,,
69,shrimp,pasta,,,,,
70,grated cheese,herb & pepper,tomatoes,tomato sauce,corn,,
71,burgers,escalope,shallot,,,,
72,cookies,,,,,,
73,yogurt cake,,,,,,
74,soup,eggs,,,,,
75,cookies,,,,,,
76,mineral water,chocolate,low fat yogurt,,,,
77,eggs,strawberries,,,,,
78,grated cheese,ground beef,spaghetti,mineral water,white wine,,
79,mint,,,,,,
80,eggs,cake,french fries,,,,
81,burgers,spaghetti,milk,french fries,green tea,,
82,mineral water,energy bar,butter,french fries,,,
83,burgers,grated cheese,herb & pepper,mineral water,eggs,cooking oil,
84,energy bar,,,,,,
85,energy bar,energy drink,,,,,
86,chocolate,frozen smoothie,,,,,
87,low fat yogurt,,,,,,
88,asparagus,salad,,,,,
89,burgers,french fries,low fat yogurt,green tea,,,
90,low fat yogurt,,,,,,
91,burgers,herb & pepper,shrimp,pasta,spaghetti,mineral water,meatballs
92,champagne,low fat yogurt,,,,,
93,champagne,,,,,,
94,burgers,almonds,eggs,french fries,cookies,green tea,
95,ham,soup,escalope,body spray,,,
96,turkey,ham,frozen vegetables,pepper,oil,extra dark chocolate,tea
97,muffins,eggs,cookies,,,,
98,cookies,,,,,,
99,frozen vegetables,whole wheat pasta,ground beef,spaghetti,chocolate,green tea,
100,mineral water,barbecue sauce,chocolate,,,,
101,burgers,herb & pepper,energy bar,almonds,eggs,corn,mayonnaise
102,turkey,burgers,ground beef,chocolate,soup,almonds,eggs
103,ham,spaghetti,chocolate,eggs,,,
104,ground beef,energy bar,pet food,carrots,protein bar,,
105,ground beef,tomato sauce,spaghetti,mineral water,almonds,eggs,
106,mineral water,olive oil,gums,cooking oil,,,
107,shrimp,pasta,mineral water,soup,avocado,milk,olive oil
108,shrimp,pasta,soup,cake,cooking oil,chicken,light mayo
109,spaghetti,mineral water,chocolate,french fries,champagne,escalope,mushroom cream sauce
110,shrimp,pasta,mineral water,eggs,,,
111,burgers,oil,tomato juice,fresh bread,,,
112,french wine,eggs,chocolate,low fat yogurt,,,
113,chicken,eggs,french fries,pancakes,,,
114,turkey,herb & pepper,salmon,white wine,candy bars,,
115,grated cheese,spaghetti,olive oil,eggs,french fries,green tea,
116,mineral water,energy bar,,,,,
117,eggs,french fries,,,,,
118,burgers,tomatoes,mineral water,soup,milk,almonds,eggs
119,muffins,,,,,,
120,pasta,,,,,,
121,tomatoes,spaghetti,frozen smoothie,,,,
122,ground beef,spaghetti,milk,,,,
123,french fries,,,,,,
124,chocolate,milk,,,,,
125,burgers,shrimp,pasta,frozen vegetables,spaghetti,mineral water,milk
126,ground beef,mineral water,antioxydant juice,protein bar,,,
127,grated cheese,whole wheat pasta,ground beef,spaghetti,cake,energy drink,
128,grated cheese,,,,,,
129,pancakes,,,,,,
130,frozen smoothie,,,,,,
131,carrots,green tea,,,,,
132,chocolate,,,,,,
133,turkey,burgers,chocolate,olive oil,eggs,cooking oil,corn
134,frozen vegetables,tomatoes,pepper,spaghetti,mineral water,pancakes,chicken
135,cookies,,,,,,
136,ground beef,,,,,,
137,turkey,eggs,chocolate,frozen smoothie,tomato juice,,
138,frozen vegetables,cooking oil,mashed potato,,,,
139,frozen vegetables,ground beef,tomato sauce,mineral water,meatballs,olive oil,light cream
140,red wine,spaghetti,mineral water,soup,milk,eggs,cake
141,chocolate,tomatoes,spaghetti,mineral water,avocado,milk,olive oil
142,chocolate,shrimp,pasta,frozen vegetables,ground beef,mineral water,nonfat milk
143,turkey,shrimp,pasta,pepper,spaghetti,mineral water,eggs
144,cookies,,,,,,
145,turkey,tomatoes,cake,,,,
146,yams,mineral water,soup,milk,pancakes,whole wheat rice,barbecue sauce
147,rice,,,,,,
148,chocolate,milk,,,,,
149,shrimp,pasta,frozen vegetables,water spray,,,
150,burgers,mineral water,milk,eggs,whole wheat rice,mint,
151,mineral water,vegetables mix,cake,frozen smoothie,brownies,,
152,cookies,,,,,,
153,shrimp,pasta,chicken,chocolate bread,,,
154,shallot,,,,,,
155,shrimp,pasta,spaghetti,eggs,hot dogs,green tea,
156,burgers,,,,,,
157,red wine,ground beef,spaghetti,mineral water,milk,olive oil,strong cheese
158,burgers,grated cheese,spaghetti,avocado,milk,oil,french fries
159,herb & pepper,whole wheat pasta,ground beef,mineral water,olive oil,,
160,shrimp,pasta,yams,milk,chocolate,,
161,butter,green tea,,,,,
162,light mayo,,,,,,
163,low fat yogurt,,,,,,
164,herb & pepper,shrimp,pasta,spaghetti,milk,,
165,burgers,eggs,,,,,
166,turkey,herb & pepper,ground beef,soup,avocado,milk,black tea
167,cookies,,,,,,
168,escalope,,,,,,
169,pepper,french fries,strawberries,pancakes,low fat yogurt,,
170,frozen vegetables,yams,chicken,honey,light mayo,,
171,chocolate,champagne,,,,,
172,herb & pepper,honey,cake,rice,protein bar,,
173,burgers,chocolate,frozen vegetables,ground beef,mineral water,milk,light mayo
174,chocolate,mineral water,corn,cottage cheese,green tea,,
175,muffins,,,,,,
176,ham,french wine,escalope,,,,
177,spaghetti,milk,whole wheat rice,mint green tea,,,
178,chocolate,body spray,,,,,
179,frozen vegetables,french fries,hot dogs,,,,
180,candy bars,,,,,,
181,burgers,shrimp,pasta,milk,green tea,french fries,cookies
182,parmesan cheese,ground beef,,,,,
183,pancakes,whole wheat rice,candy bars,,,,
184,eggs,eggplant,cookies,,,,
185,frozen vegetables,mineral water,,,,,
186,chocolate,,,,,,
187,turkey,spaghetti,milk,whole wheat rice,chocolate,,
188,whole wheat pasta,ground beef,spaghetti,soup,meatballs,chicken,blueberries
189,cooking oil,tomato juice,,,,,
190,frozen vegetables,milk,eggs,french fries,green tea,,
191,fresh tuna,spaghetti,olive oil,french wine,eggs,french fries,champagne
192,red wine,honey,hot dogs,,,,
193,milk,bacon,eggs,french fries,fresh bread,,
194,french fries,yogurt cake,,,,,
195,milk,,,,,,
196,french fries,,,,,,
197,chocolate,,,,,,
198,burgers,ham,red wine,,,,
199,shrimp,pasta,tomatoes,energy bar,french wine,antioxydant juice,french fries
200,green tea,,,,,,
201,low fat yogurt,,,,,,
202,turkey,spaghetti,mineral water,soup,spinach,soda,energy drink
203,turkey,eggs,,,,,
204,bug spray,hot dogs,,,,,
205,oil,,,,,,
206,soup,energy bar,chicken,eggs,cake,french fries,body spray
207,spaghetti,chocolate,yogurt cake,,,,
208,turkey,mineral water,meatballs,,,,
209,ground beef,mineral water,chocolate,fromage blanc,bacon,hot dogs,
210,frozen vegetables,mineral water,vegetables mix,escalope,,,
211,herb & pepper,red wine,tomatoes,,,,
212,whole wheat pasta,olive oil,cereals,brownies,green tea,,
213,cookies,,,,,,
214,olive oil,cookies,mushroom cream sauce,,,,
215,ground beef,pancakes,cooking oil,gluten free bar,light mayo,,
216,mineral water,french fries,,,,,
217,herb & pepper,,,,,,
218,salmon,,,,,,
219,eggs,escalope,,,,,
220,mineral water,tomato juice,,,,,
221,mineral water,,,,,,
222,shrimp,mineral water,soup,black tea,,,
223,cake,frozen smoothie,,,,,
224,turkey,burgers,grated cheese,tomatoes,chocolate,fromage blanc,honey
225,frozen vegetables,ground beef,mineral water,olive oil,pancakes,,
226,turkey,burgers,ground beef,milk,olive oil,cake,fresh bread
227,whole wheat pasta,ground beef,spaghetti,yams,mineral water,soup,chutney
228,eggs,whole wheat rice,cake,green tea,escalope,,
229,ground beef,yams,soup,avocado,salmon,green tea,
230,milk,,,,,,
231,spaghetti,chocolate,,,,,
232,whole wheat pasta,honey,,,,,
233,whole wheat pasta,green tea,,,,,
234,spaghetti,meatballs,vegetables mix,chocolate,,,
235,eggs,low fat yogurt,,,,,
236,fresh tuna,shrimp,pasta,mineral water,olive oil,eggs,cake
237,mineral water,green grapes,hot dogs,fresh bread,,,
238,frozen vegetables,meatballs,eggs,chocolate,,,
239,chocolate,,,,,,
240,meatballs,milk,,,,,
241,low fat yogurt,,,,,,
242,green tea,,,,,,
243,escalope,pasta,,,,,
244,pepper,chocolate,olive oil,french wine,salmon,rice,light mayo
245,red wine,french wine,vegetables mix,rice,clothes accessories,hot dogs,green tea
246,burgers,dessert wine,spaghetti,chicken,cake,protein bar,green tea
247,french wine,cake,fresh bread,,,,
248,burgers,frozen vegetables,flax seed,eggs,,,
249,red wine,,,,,,
250,pepper,mineral water,energy bar,green grapes,,,
251,milk,eggs,cake,chocolate,french fries,green tea,
252,french fries,,,,,,
253,almonds,,,,,,
254,burgers,mineral water,green tea,,,,
255,milk,pancakes,,,,,
256,pancakes,eggs,salt,tomato juice,,,
257,mineral water,,,,,,
258,ham,spaghetti,mineral water,olive oil,,,
259,salt,tomato juice,fresh bread,,,,
260,spaghetti,mushroom cream sauce,,,,,
261,spaghetti,mineral water,eggs,pet food,,,
262,frozen vegetables,spaghetti,,,,,
263,energy drink,,,,,,
264,muffins,,,,,,
265,turkey,milk,,,,,
266,cookies,,,,,,
267,chocolate,,,,,,
268,spaghetti,mineral water,eggs,cooking oil,chocolate,escalope,
269,shrimp,frozen vegetables,pepper,spaghetti,green tea,,
270,burgers,fresh tuna,red wine,mineral water,french fries,hand protein bar,low fat yogurt
271,pancakes,eggs,energy drink,fresh bread,,,
272,strong cheese,salmon,green tea,french fries,frozen smoothie,hot dogs,
273,grated cheese,shrimp,pasta,tomatoes,milk,frozen smoothie,sandwich
274,herb & pepper,whole wheat pasta,olive oil,pancakes,eggs,,
275,spaghetti,antioxydant juice,,,,,
276,chocolate,milk,almonds,eggs,strawberries,white wine,
277,french fries,strawberries,,,,,
278,mineral water,,,,,,
279,eggs,,,,,,
280,escalope,,,,,,
281,cake,,,,,,
282,whole wheat pasta,antioxydant juice,body spray,green tea,,,
283,mineral water,oil,frozen smoothie,,,,
284,french fries,champagne,,,,,
285,chocolate,french fries,,,,,
286,frozen vegetables,spaghetti,eggs,,,,
287,hot dogs,,,,,,
288,chocolate,cookies,,,,,
289,pancakes,,,,,,
290,shrimp,butter,chicken,salmon,,,
291,chocolate,cookies,babies food,,,,
292,pepper,spaghetti,cake,chocolate,french fries,fresh bread,
293,avocado,oil,cereals,french fries,,,
294,herb & pepper,spaghetti,mineral water,spinach,eggs,oil,cooking oil
295,herb & pepper,frozen vegetables,ground beef,pepper,spaghetti,mint green tea,french fries
296,french fries,,,,,,
297,green tea,tomato juice,,,,,
298,eggs,whole wheat rice,chocolate,,,,
299,grated cheese,herb & pepper,red wine,spaghetti,mineral water,salmon,eggs
